지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1994-07-07 13:00,0,0
90,속초,1994-07-07 14:00,0,0
90,속초,1994-07-07 16:00,0,0
90,속초,1994-07-08 01:00,0,0
90,속초,1994-07-08 02:00,0,0
90,속초,1994-07-08 03:00,0,0
90,속초,1994-07-08 04:00,22.1,0
90,속초,1994-07-08 05:00,3.9,0
90,속초,1994-07-08 06:00,.5,0
90,속초,1994-07-08 07:00,2.5,0
90,속초,1994-07-08 08:00,2,0
90,속초,1994-07-08 09:00,.1,0
90,속초,1994-07-08 10:00,0,0
90,속초,1994-07-08 17:00,0,0
90,속초,1994-07-08 18:00,0,0
90,속초,1994-07-08 19:00,0,0
90,속초,1994-07-09 03:00,0,0
90,속초,1994-07-09 04:00,0,0
90,속초,1994-07-09 05:00,0,0
90,속초,1994-07-09 06:00,0,0
90,속초,1994-07-09 07:00,0,0
90,속초,1994-07-09 08:00,0,0
90,속초,1994-07-10 10:00,0,0
90,속초,1994-07-16 21:00,0,0
90,속초,1994-07-16 23:00,0,0
90,속초,1994-07-18 16:00,0,0
90,속초,1994-07-18 17:00,0,0
90,속초,1994-07-26 08:00,.2,0
90,속초,1994-07-26 09:00,0,0
90,속초,1994-07-27 08:00,0,0
90,속초,1994-07-27 11:00,0,0
90,속초,1994-07-27 12:00,.7,0
90,속초,1994-07-27 13:00,.1,0
90,속초,1994-07-27 14:00,0,0
90,속초,1994-07-30 17:00,17.2,0
90,속초,1994-07-30 18:00,.5,0
90,속초,1994-07-30 19:00,0,0
90,속초,1994-07-30 20:00,.1,0
90,속초,1994-07-31 02:00,.4,0
90,속초,1994-07-31 23:00,0,0
90,속초,1994-08-01 00:00,0,0
90,속초,1994-08-01 01:00,.1,0
90,속초,1994-08-01 02:00,.1,0
90,속초,1994-08-01 03:00,0,0
90,속초,1994-08-01 04:00,.3,0
90,속초,1994-08-01 05:00,3,0
90,속초,1994-08-01 06:00,2.8,0
90,속초,1994-08-01 08:00,.2,0
90,속초,1994-08-01 09:00,.4,0
90,속초,1994-08-01 10:00,.2,0
90,속초,1994-08-01 11:00,0,0
90,속초,1994-08-01 12:00,.9,0
90,속초,1994-08-01 13:00,13.5,0
90,속초,1994-08-01 14:00,1.9,0
